Epoch: 0, loss: 0.09070
Epoch: 100, loss: 0.01137
Epoch: 200, loss: 0.00292
Epoch: 300, loss: 0.00233
Epoch: 400, loss: 0.00193
Epoch: 500, loss: 0.00177
Epoch: 600, loss: 0.00171
Epoch: 700, loss: 0.00169
Epoch: 800, loss: 0.00168
Epoch: 900, loss: 0.00167
Epoch: 1000, loss: 0.00166
Epoch: 1100, loss: 0.00166
Epoch: 1200, loss: 0.00165
Epoch: 1300, loss: 0.00164
Epoch: 1400, loss: 0.00164
Epoch: 1500, loss: 0.00163
Epoch: 1600, loss: 0.00163
Epoch: 1700, loss: 0.00162
Epoch: 1800, loss: 0.00162
Epoch: 1900, loss: 0.00161
